publisher_id,publisher_name,size,view_rate,view_measurement_rate
1000500,finanzen.net,360x711,"0,000000000000000000","0,000000000000000000"
1000530,wieistmeineip.de,500x1000,"0,751219512195121951","0,280309936189608022"
1000500,finanzen.net,1101x672,"0,000000000000000000","0,000000000000000000"
1000507,lifeline.de,300x600,"1,000000000000000000","0,333333333333333333"
1000494,bild.de,160x600,"0,811955879016019265","0,780403226747226195"
1000533,welt.de,1x1,"0,611620018698493412","0,667495799453206069"
1000500,finanzen.net,346x746,"0,000000000000000000","0,000000000000000000"
1120688,sport1.de,414x896,"0,000000000000000000","0,000000000000000000"
1576399,formel1.de,320x50,"0,731665195532870246","0,788339938886031525"
1000524,techbook.de,500x1000,"0,608910891089108911","0,540829986613119143"
1000500,finanzen.net,376x735,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,344x687,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,320x616,"0,000000000000000000","0,000000000000000000"
1000521,sportbild.de,2x2,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,0x0,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,462x895,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,424x878,"0,000000000000000000","0,000000000000000000"
1036466,adtechnology.axelspringer.com,728x90,"1,000000000000000000","1,000000000000000000"
1000500,finanzen.net,443x929,"0,000000000000000000","0,000000000000000000"
1985192,gesundheit.de,500x1000,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,1000x600,"0,808972407494534082","0,144420622815684544"
1000530,wieistmeineip.de,3x3,"0,726997185537995237","0,198743599672991696"
1000494,bild.de,4x4,"0,332937228212772308","0,048790275018327319"
1576402,clever-tanken.de,800x250,"0,605034067233515401","0,817437814151308158"
1080426,fitbook.de,1000x300,"0,685344827586206897","0,278846153846153846"
1000500,finanzen.net,339x682,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,339x680,"0,000000000000000000","0,000000000000000000"
1000530,wieistmeineip.de,1000x600,"0,000000000000000000","0,000000000000000000"
1000533,welt.de,500x1000,"0,828663681844207286","0,900423424413248705"
1000500,finanzen.net,393x796,"0,000000000000000000","0,000000000000000000"
1000510,metal-hammer.de,1000x1000,"1,000000000000000000","0,024844720496894410"
1000494,bild.de,320x250,"1,000000000000000000","0,012048192771084337"
1000500,finanzen.net,387x727,"0,000000000000000000","0,000000000000000000"
1000530,wieistmeineip.de,320x50,"0,523320737691049574","0,603772942418360745"
1000500,finanzen.net,686x1049,"0,000000000000000000","0,000000000000000000"
1441955,myhomebook.de,1x1,"0,882829721572218266","0,677161557009989666"
1000500,finanzen.net,339x681,"0,000000000000000000","0,000000000000000000"
1441955,myhomebook.de,320x160,"0,900000000000000000","0,002600780234070221"
1000500,finanzen.net,360x687,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,360x720,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,360x760,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,411x775,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,8439x1,"0,059574940758293839","0,190633492147520734"
1000500,finanzen.net,320x615,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,960x552,"0,000000000000000000","0,000000000000000000"
1036466,adtechnology.axelspringer.com,300x600,"1,000000000000000000","1,000000000000000000"
1000500,finanzen.net,376x743,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,339x687,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,384x741,"0,000000000000000000","0,000000000000000000"
2212555,spiele.bild.de,300x600,"0,587237275259559382","0,959360033317137503"
1000500,finanzen.net,346x679,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,412x682,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,411x878,"0,000000000000000000","0,000000000000000000"
2181973,petbook.de,300x250,"0,714416965262639171","0,967733331177911234"
1000500,finanzen.net,393x818,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,1000x600,"0,849618672262885806","0,954281248473599375"
1000527,travelbook.de,500x1000,"0,949415374409154988","0,975252729478366357"
1000517,rollingstone.de,500x1000,"0,882621951219512195","0,437333333333333333"
1080426,fitbook.de,0x0,"0,000000000000000000","0,000000000000000000"
1429272,motorsport.com,320x50,"0,579176054071451561","0,657914240338803600"
1000510,metal-hammer.de,0x0,"0,000000000000000000","0,000000000000000000"
1000521,sportbild.de,3x3,"0,237071968276083811","0,077771989414240764"
1000494,bild.de,1x1,"0,720047283852240598","0,876134078816869325"
1000499,computerbild.de,1000x600,"0,252407696719204224","0,945424971020453951"
1000500,finanzen.net,711x1090,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,411x955,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,320x604,"0,000000000000000000","0,000000000000000000"
1000510,metal-hammer.de,300x300,"0,583333333333333333","0,023121387283236994"
1000500,finanzen.net,411x870,"0,000000000000000000","0,000000000000000000"
1120688,sport1.de,320x80,"0,681543026706231454","0,468029553913671463"
1000500,finanzen.net,411x812,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,320x100,"0,583333333333333333","1,000000000000000000"
1000500,finanzen.net,384x799,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,360x726,"0,000000000000000000","0,000000000000000000"
2212555,spiele.bild.de,300x250,"0,165413533834586466","0,336424957841483980"
1000500,finanzen.net,1502x853,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,1280x672,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,512x683,"0,000000000000000000","0,000000000000000000"
1000535,bundesliga,375x812,"0,000000000000000000","0,000000000000000000"
1000535,bundesliga,300x150,"0,545454545454545455","1,000000000000000000"
1000500,finanzen.net,320x594,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,2x2,"0,575989358164283339","0,038098220248944331"
1000517,rollingstone.de,3x3,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,384x768,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,768x1024,"0,000000000000000000","0,000000000000000000"
1000533,welt.de,640x360,"0,572996706915477497","0,952586564205633709"
1000500,finanzen.net,1138x695,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,384x825,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,376x620,"0,000000000000000000","0,000000000000000000"
1000524,techbook.de,355x355,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,375x788,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,320x656,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,360x748,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,601x961,"0,000000000000000000","0,000000000000000000"
1000494,bild.de,961x120,"0,000000000000000000","0,000000000000000000"
1000524,techbook.de,320x80,"0,942857142857142857","0,003837298541826554"
1000498,bz-berlin.de,728x600,"0,279569892473118280","0,002162639815826803"
1000500,finanzen.net,320x660,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,320x569,"0,000000000000000000","0,000000000000000000"
1000499,computerbild.de,320x80,"0,830463482579030239","0,899930059131824912"
1000500,finanzen.net,411x780,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,360x756,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,364x769,"0,000000000000000000","0,000000000000000000"
1000500,finanzen.net,320x620,"0,000000000000000000","0,000000000000000000"
